@relation 'NBAARFF'

@attribute name {HardenJames,GeorgePaul,AntetokounmpoGiannis,EmbiidJoel,CurryStephen,LeonardKawhi,BookerDevin,DurantKevin,LillardDamian,WalkerKemba,BealBradley,GriffinBlake,TownsKarl-Anthony,IrvingKyrie,MitchellDonovan,LaVineZach,WestbrookRussell,ThompsonKlay,RandleJulius,AldridgeLaMarcus,DeRozanDeMar,DoncicLuka,HolidayJrue,RussellDAngelo,ConleyMike,McCollumCJ,VucevicNikola,HieldBuddy,JokicNikola,HarrisTobias,WilliamsLou,GallinariDanilo,CollinsJohn,YoungTrae,ButlerJimmy,KuzmaKyle,MiddletonKhris,MurrayJamal,WigginsAndrew,HardawayTim,RedickJJ,BogdanovicBojan,DrummondAndre,FoxDeAaron,SiakamPascal,SimmonsBen,ClarksonJordan,DinwiddieSpencer,SextonCollin,CapelaClint,HarrellMontrezl,RichardsonJosh,BarnesHarrison,AytonDeandre,GordonEric,GordonAaron,BledsoeEric,GobertRudy,TatumJayson,BrogdonMalcolm,NurkicJusuf,PaulChris,SchroderDennis,JacksonReggie,LambJeremy,OubreKelly,FournierEvan,RossTerrence,WadeDwyane,IbakaSerge,BagleyMarvin,MudiayEmmanuel,ParkerJabari,LowryKyle,BogdanovicBogdan,SabonisDomantas,MorrisMarcus,AdamsSteven,JacksonJaren,GayRudy,HarrisJoe,KanterEnes,GrantJerami,HorfordAl,GasolMarc,TurnerMyles,OsmanCedi,BrownJaylen,KnoxKevin,RubioRicky,YoungThaddeus,MillsapPaul,WinslowJustise,ArizaTrevor,LopezBrook,WhitesideHassan,GreenJeff,MatthewsWesley,InglesJoe,McGeeJaVale}
@attribute team {MIL,GSW,MIN,MIA,ATL,BOS,DET,NYK,DEN,SAC,BKN,POR,OKC,TOR,CLE,SAS,UTA,CHI,HOU,WAS,LAL,PHI,MEM,LAC,DAL,ORL,PHX,IND,NOP}
@attribute 'GP' numeric
@attribute 'MPG' numeric 
@attribute 'PPG' numeric
@attribute 'FGM/G' numeric
@attribute 'FG' numeric
@attribute '3FGM/G' numeric
@attribute '3FG' numeric
@attribute 'FTM/G' numeric
@attribute 'FT' numeric
@attribute 'PPS' numeric

@data
SextonCollin,CLE,82,31.8,16.7,6.3,0.43,1.5,0.402,2.6,0.839,1.14
CapelaClint,HOU,67,33.6,16.6,7.1,0.648,0,?,2.5,0.636,1.52
HarrellMontrezl,LAC,82,26.3,16.6,6.7,0.615,0,0.176,3.2,0.643,1.53
RichardsonJosh,PHI,73,34.8,16.6,5.8,0.412,2.2,0.357,2.7,0.861,1.18
BarnesHarrison,SAC,77,32.9,16.4,5.6,0.42,2.3,0.395,3,0.824,1.23
AytonDeandre,PHX,71,30.7,16.3,7.2,0.585,0,0,2,0.746,1.33
GordonEric,HOU,68,31.7,16.2,5.6,0.409,3.2,0.36,1.8,0.783,1.18
GordonAaron,ORL,78,33.8,16,6,0.449,1.6,0.349,2.4,0.731,1.19
BledsoeEric,MIL,78,29.1,15.9,6,0.484,1.6,0.329,2.3,0.75,1.28
GobertRudy,UTA,81,31.8,15.9,5.9,0.669,0,?,4.1,0.636,1.8
TatumJayson,BOS,79,31.1,15.7,5.9,0.45,1.5,0.373,2.5,0.855,1.2
BrogdonMalcolm,IND,64,28.6,15.6,5.9,0.505,1.6,0.426,2.2,0.928,1.34
NurkicJusuf,POR,72,27.4,15.6,5.8,0.508,0,0.103,3.9,0.773,1.36
PaulChris,OKC,58,32,15.6,5.2,0.419,2.2,0.358,3,0.862,1.26
SchroderDennis,OKC,79,29.3,15.5,5.8,0.414,1.6,0.341,2.4,0.819,1.11
JacksonReggie,DET,82,27.9,15.4,5.4,0.421,2.1,0.369,2.5,0.864,1.2
LambJeremy,IND,79,28.5,15.3,5.5,0.44,1.5,0.348,2.9,0.888,1.23
OubreKelly,PHX,69,28,15.2,5.4,0.445,1.6,0.32,2.7,0.775,1.24
FournierEvan,ORL,81,31.5,15.1,5.8,0.438,1.9,0.34,1.7,0.806,1.15
RossTerrence,ORL,81,26.5,15.1,5.4,0.428,2.7,0.383,1.6,0.875,1.19
WadeDwyane,?,72,26.2,15,5.8,0.433,1.2,0.33,2.3,0.708,1.13
IbakaSerge,TOR,74,27.2,15,6.3,0.529,0.7,0.29,1.8,0.763,1.27
BagleyMarvin,SAC,62,25.3,14.9,5.7,0.504,0.5,0.313,2.9,0.691,1.31
MudiayEmmanuel,UTA,59,27.2,14.8,5.6,0.446,1.2,0.329,2.4,0.774,1.18
ParkerJabari,ATL,64,26.9,14.5,5.8,0.493,1,0.313,2,0.712,1.24
LowryKyle,TOR,65,34,14.2,4.7,0.411,2.4,0.347,2.5,0.83,1.25
BogdanovicBogdan,SAC,70,27.8,14.1,5.2,0.418,1.9,0.36,1.9,0.827,1.15
SabonisDomantas,IND,74,24.8,14.1,5.6,0.59,0.1,0.529,2.8,0.715,1.49
MorrisMarcus,NYK,75,27.9,13.9,5,0.447,1.9,0.375,1.9,0.844,1.24
AdamsSteven,OKC,80,33.4,13.9,6,0.595,0,0,1.8,0.5,1.37
JacksonJaren,MEM,58,26.1,13.8,5.1,0.506,0.9,0.359,2.6,0.766,1.35
GayRudy,SAS,69,26.7,13.7,5.4,0.504,1.1,0.402,1.7,0.816,1.27
HarrisJoe,BKN,76,30.2,13.7,4.9,0.5,2.4,0.474,1.4,0.827,1.39
KanterEnes,BOS,67,24.5,13.7,5.6,0.549,0.1,0.294,2.3,0.787,1.34
GrantJerami,DEN,80,32.7,13.6,5.1,0.497,1.4,0.392,2,0.71,1.32
HorfordAl,PHI,68,29,13.6,5.7,0.535,1.1,0.36,1.1,0.821,1.28
GasolMarc,TOR,79,30.8,13.6,4.9,0.448,1.3,0.363,2.4,0.759,1.23
TurnerMyles,IND,74,28.6,13.3,5.1,0.487,1,0.388,2,0.736,1.26
OsmanCedi,CLE,76,32.2,13,4.7,0.427,1.7,0.348,1.9,0.779,1.17
BrownJaylen,BOS,74,25.9,13,5,0.465,1.3,0.344,1.8,0.658,1.22
KnoxKevin,NYK,75,28.8,12.8,4.5,0.37,1.7,0.343,2.2,0.717,1.05
RubioRicky,PHX,68,27.9,12.7,4.3,0.404,1.2,0.311,2.9,0.855,1.18
YoungThaddeus,CHI,81,30.7,12.6,5.5,0.527,0.6,0.349,1.1,0.644,1.22
MillsapPaul,DEN,70,27.1,12.6,4.6,0.484,0.8,0.365,2.6,0.727,1.33
WinslowJustise,MIA,66,29.7,12.6,4.9,0.433,1.5,0.375,1.3,0.628,1.11
ArizaTrevor,SAC,69,34,12.5,4.3,0.399,2.1,0.334,1.9,0.793,1.17
LopezBrook,MIL,81,28.7,12.5,4.4,0.452,2.3,0.365,1.4,0.842,1.28
WhitesideHassan,POR,72,23.3,12.3,5.4,0.571,0,0.125,1.5,0.449,1.3
GreenJeff,UTA,77,27.2,12.3,4.2,0.475,1.4,0.347,2.4,0.888,1.38
MatthewsWesley,MIL,69,30.3,12.2,4,0.4,2.2,0.372,1.9,0.81,1.2
InglesJoe,UTA,82,31.3,12.1,4.4,0.448,2.3,0.391,1.1,0.707,1.24
McGeeJaVale,LAL,75,22.3,12,5.3,0.624,0,0.083,1.3,0.632,1.4
